fname,lname,password,login,street,city,card,exp_date
James,Andersson,#J8Tz{,james123,Beskudnikovsky Blvd,Moscow,253296620,02/23
John,Johansson,"AqT""9r",john1337,Dubninskaya Street,Moscow,625641903,05/25
Robert,Karlsson,S{p@3m,rob333,Kropotkin lane,Moscow,377905836,01/21
Michael,Nilsson,#7qQ>u,michael16,Mansurovsky Lane,Moscow,928130100,03/24
William,Eriksson,p2%uYU,william12,Mantulinskaya Street,Moscow,464183535,05/25
Patricia,Larsson,cY;H6],patricia5,Maple Blvd,Moscow,800837827,01/21
Jennifer,Olsson,h@6M/s,jennifer,Marching passage,Moscow,541299174,01/21
Linda,Persson,Xxu8&_,linda5,Maresiev Street,Moscow,129435748,02/22
Mary,Svensson,p/BK3<,mary9,Marfinsky travel,Moscow,964931821,02/22
Barbara,Gustafsson,3!T%sp,barbara,Margelov Street,Moscow,923663148,03/24
